"AAPL","Apple","Common stocks","Large cap","Information Technology","$2,105,044,640,860","0.68%","20.89","5.45","31.59","Analyze"
"MSFT","Microsoft","Common stocks","Large cap","Information Technology","$1,832,138,747,081","0.99%","25.56","9.51","11.37","Analyze"
"GOOG","Google","Common stocks","Large cap","Communication Services","$1,439,950,712,182","0.00%","9.07","5.33","2.66","Analyze"
"GOOGL","Google","Common stocks","Large cap","Communication Services","$1,439,950,712,182","0.00%","8.65","5.33","2.54","Analyze"
"AMZN","Amazon","Common stocks","Large cap","Consumer Discretionary","$1,054,636,840,000","0.00%","50.47","2.21","8.06","Analyze"
"BRK.B","Berkshire Hathaway","Common stocks","Large cap","Financials","$681,293,319,342","0.00%","4.13","1.92","0.67","Analyze"
"TSLA","Tesla","Common stocks","Large cap","Consumer Discretionary","$662,564,490,762","0.00%","80.24","10.65","19.77","Analyze"
"META","Meta","Common stocks","Large cap","Communication Services","$459,123,000,591","0.00%","0.00","0.00","0.00","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$447,548,818,824","2.51%","22.49","4.72","5.97","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$427,890,686,412","1.62%","24.30","1.45","5.83","Analyze"
